GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Hotel Booking System,com.hotel.controller,AuthController,0,132,0,4,0,34,0,8,0,6
Hotel Booking System,com.hotel.controller,BookingController,6,351,6,18,3,76,6,17,0,11
Hotel Booking System,com.hotel.controller,ReviewController,0,81,0,8,0,20,0,6,0,2
Hotel Booking System,com.hotel.controller,HealthController,12,19,0,0,5,8,0,4,0,4
Hotel Booking System,com.hotel.controller,HotelController,30,225,3,17,4,40,5,15,2,8
Hotel Booking System,com.hotel.controller,HomeController,0,89,2,4,0,18,2,8,0,7
Hotel Booking System,com.hotel.controller,ProfileController,0,177,2,10,0,45,2,7,0,3
Hotel Booking System,com.hotel.dto,ProfileUpdateDTO,0,38,0,0,0,11,0,11,0,11
Hotel Booking System,com.hotel.dto,UserRegistrationDTO,0,52,0,0,0,15,0,15,0,15
Hotel Booking System,com.hotel.dto,UserDTO,0,76,0,0,0,24,0,16,0,16
Hotel Booking System,com.hotel.service,ReviewService,5,48,0,2,1,8,1,8,1,7
Hotel Booking System,com.hotel.service,BookingService,0,76,1,1,0,17,1,7,0,7
Hotel Booking System,com.hotel.service,RoomService,0,30,0,0,0,6,0,6,0,6
Hotel Booking System,com.hotel.service,UserService,10,88,2,6,2,19,3,11,1,9
Hotel Booking System,com.hotel.service,HotelService,0,32,0,0,0,7,0,7,0,7
Hotel Booking System,com.hotel.util,DatabaseHealthCheck,0,14,0,0,0,5,0,2,0,2
Hotel Booking System,com.hotel.mapper,UserMapper,0,25,0,2,0,11,0,3,0,2
